33504,Ciara Everard,F,26.0,169.0,54.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,No Medal
33486,Lisvel Elisa Eve Mejia (-Castillo),F,20.0,194.0,70.0,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,No Medal
33474,Steven Steve Evans,M,28.0,191.0,85.0,South Africa,RSA,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No Medal
33471,Scott Evans,M,20.0,182.0,78.0,Ireland,IRL,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Singles,No Medal
33456,Kyle Jordan S. Evans,M,22.0,180.0,81.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's BMX,No Medal
33453,Jonty Evans,M,44.0,193.0,82.0,Ireland,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,Equestrianism Mixed Three-Day Event, Individual
33450,Joanna Evans,F,19.0,180.0,66.0,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,No Medal
33448,Iain Evans,M,23.0,191.0,89.0,South Africa,RSA,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,No Medal
33443,Gareth Irfon Evans,M,26.0,169.0,68.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Lightweight,No Medal
33442,Freddie William Fred Evans,M,21.0,180.0,78.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,Silver
33440,Erma-Gene Evans,F,24.0,170.0,68.0,Saint Lucia,LCA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,No Medal
33433,Carl Evans,M,17.0,175.0,63.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,No Medal
33431,Blair Catherine Evans,F,21.0,175.0,65.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
33426,Andrew Evans,M,25.0,198.0,114.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Discus Throw,No Medal
33422,Marios Evangelou,M,23.0,177.0,72.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,No Medal
33415,Evandro Gonalves Oliveira Jnior,M,26.0,210.0,105.0,Brazil-2,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,No Medal
33410,Fineza da Silva Eusbio,F,22.0,178.0,70.0,Angola,ANG,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,No Medal
33409,Johan Magnus Eurn,M,27.0,192.0,120.0,Sweden,SWE,2012 Summer,2012,Summer,London,Wrestling,Wrestling Men's Super-Heavyweight, Greco-Roman
33407,Annabelle Euranie,F,21.0,172.0,52.0,France,FRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,No Medal
33405,Eum Mi-Young,F,24.0,161.0,58.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,No Medal
33395,Unai Etxebarra Arana,M,31.0,185.0,75.0,Venezuela,VEN,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Road Race, Individual
33392,Hanna Etula,F,27.0,174.0,61.0,Finland,FIN,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Women's Air Rifle, 10 metres
33384,Tobias Etter,M,27.0,170.0,62.0,Switzerland,SUI,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,No Medal
33383,Nour Elhouda Ettaieb,F,19.0,170.0,57.0,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,No Medal
33377,Takashi Eto,M,25.0,183.0,67.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,No Medal
33370,Anouchka Diane Etiennette,F,16.0,175.0,65.0,Mauritius,MRI,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,No Medal
33368,Ophlie-Cyrielle Etienne,F,17.0,175.0,57.0,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Freestyle,No Medal
33366,Ginou Etienne,F,23.0,173.0,58.0,Haiti,HAI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,No Medal
33364,Paul Etia Ndoumb,M,24.0,182.0,78.0,Cameroon,CMR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,No Medal
33360,Gemma Etheridge,F,29.0,169.0,66.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
33359,Brice Pascal Guy Ets,M,28.0,185.0,73.0,Monaco,MON,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,No Medal
33356,Oghenekaro Peter Etebo,M,20.0,172.0,71.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
